TAVG,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,PRCP
21,28,17,12.3,260,260,21.9,33.1,,0
19,25,8,4.03,240,260,15,19.9,,0
21,32,10,5.82,130,140,14.1,19,,0.2
28,32,8,10.07,320,310,21.9,30,,0.18
7,9,1,9.62,270,270,23,31.1,,0.01
7,16,2,10.29,240,230,18.1,25.9,,0
5,10,-2,13.65,320,330,28,40,,0.1
9,16,5,13.65,180,260,21,27.1,,0.1
8,12,2,9.4,260,300,18.1,25.1,,0.01
6,18,0,9.62,250,240,21,30,,0
18,26,15,5.82,210,220,13,18.1,,0
19,23,2,10.07,330,320,25.1,31.1,,0.02
3,16,-10,3.58,200,200,10.1,13,,0
5,23,-14,4.92,190,270,12.1,15,,0
24,33,20,10.51,310,320,21.9,31.1,,0.02
18,25,-8,7.83,310,320,19.9,29.1,,0.01
14,38,-3,10.96,150,160,25.9,32,,0
34,38,26,8.05,310,320,15,19.9,,0.04
21,26,2,6.93,340,320,16.1,21.9,,0
9,23,-2,1.34,40,40,12.1,13,,0
9,25,-3,0.89,90,90,8.9,10.1,,0
15,30,4,4.47,280,290,15,19.9,,0
25,37,21,9.84,230,230,17,23.9,,0
33,37,18,9.62,340,340,23.9,31.1,,0.01
15,18,-2,6.26,30,50,17,21,,0
6,20,-6,3.58,110,100,13,16.1,,0.01
16,21,-2,6.04,40,40,14.1,15,,0
8,29,-5,4.25,160,170,15,19.9,,0
26,30,15,10.07,320,320,23,33.1,,0.43
12,15,2,10.29,320,330,25.9,35.1,,0.02
15,27,6,7.16,330,330,18.1,23.9,,0.03
11,16,6,12.53,30,30,19.9,23,,0
7,14,-3,9.4,10,20,18.1,23,,0
12,24,7,5.82,260,260,14.1,19.9,,0
16,21,2,6.71,320,330,21,28,,0.02
6,17,-6,7.61,200,180,17,23.9,,0
19,29,14,8.28,240,310,16.1,23,,0
23,25,20,8.5,100,90,21,25.9,,0.21
18,21,13,13.42,60,90,21,25.9,,0.2
12,15,3,7.83,40,330,15,18.1,,0.04
9,23,-6,4.7,40,140,14.1,16.1,,0
21,28,11,9.84,300,310,21,31.1,,0.04
7,12,-5,13.65,330,330,25.1,33.1,,0.01
0,18,-16,7.61,200,220,17,21.9,,0.03
8,15,-8,18.34,330,330,31.1,40.9,,0
-8,-1,-25,8.5,340,340,21.9,28,,0
-9,15,-27,3.13,190,180,10.1,13,,0
9,20,4,6.26,280,260,14.1,19.9,,0
6,11,-4,8.28,320,330,21.9,28,,0
-5,-3,-16,8.95,330,320,21,28,,0
-8,11,-29,8.72,180,170,18.1,23,,0.02
14,25,8,6.04,360,190,14.1,18.1,,0
11,14,-9,10.07,320,320,21.9,30,,0
-5,10,-17,8.05,220,220,17,21.9,,0
14,25,7,12.3,330,330,32,48.1,,0.03
10,13,-2,8.95,300,310,21,30,,0
2,8,-9,7.16,10,360,16.1,19.9,,0
1,20,-19,5.82,240,240,14.1,21,,0
11,28,0,7.38,260,250,15,21,,0
18,29,5,7.16,230,240,16.1,21.9,,0
23,29,0,7.38,310,310,18.1,30,,0
13,28,-5,6.71,280,300,16.1,25.9,,0.35
21,26,2,9.17,310,320,18.1,25.9,,0
6,17,-12,4.47,310,320,14.1,18.1,,0
8,31,-12,10.51,220,220,19.9,25.1,,0
25,34,12,6.93,270,290,15,21.9,,0
27,42,15,6.04,240,250,18.1,25.1,,0.02
33,50,10,7.83,260,270,17,27.1,,0
44,54,38,10.74,210,210,18.1,23.9,,0
42,49,30,9.4,300,310,23,36,,0
31,36,24,8.28,120,140,17,21.9,,0
34,42,30,7.16,180,180,18.1,23,,0
36,40,29,10.96,320,340,21,33.1,,0
37,51,32,8.72,330,330,18.1,25.1,,0
45,61,35,5.37,330,340,18.1,25.1,,0.2
35,37,23,15.21,340,320,29.1,38.9,,0
28,38,16,8.28,310,320,19.9,27.1,,0
27,40,13,4.92,100,140,13,16.1,,0
34,49,22,4.47,240,240,13,18.1,,0
34,40,16,13.42,340,330,23.9,34,,0.07
21,32,11,9.4,320,270,19.9,27.1,,0
21,27,9,4.92,120,70,14.1,19,,0
22,34,9,5.82,110,110,16.1,19.9,,0
30,41,21,11.41,250,260,25.1,38,,0.25
37,41,21,8.5,310,310,16.1,25.1,,0.01
19,22,13,12.53,350,350,21,25.9,,0.01
20,37,9,4.03,140,120,14.1,16.1,,0
29,44,16,12.53,190,200,31.1,40,,0
37,43,25,10.07,310,310,21.9,33.1,,0.05
31,39,22,4.47,120,100,13,16.1,,0
35,46,29,7.61,160,160,18.1,21.9,,0
50,65,35,9.17,210,210,19.9,28,,0.14
42,47,24,10.96,320,320,21,27.1,,0
29,40,19,7.83,330,310,17,25.9,,0
29,38,19,4.92,100,110,13,17,,0
31,33,29,5.82,70,70,14.1,17,,0.09
36,46,30,9.62,110,110,19.9,23.9,,0
37,40,33,12.75,70,80,21,27.1,,0
35,37,33,8.5,110,270,17,23,,0.7
40,49,36,12.97,270,280,29.1,42.9,,0.49
42,59,29,5.59,100,310,13,19,,0
47,71,27,8.05,180,170,21,25.9,,0
54,61,37,10.29,280,320,23,36.9,,0.07
51,66,32,5.82,120,280,17,23.9,,0
42,56,24,4.25,130,130,14.1,18.1,,0
41,56,29,4.47,100,120,10.1,15,,0
51,71,35,4.7,30,70,17,21.9,,0
49,59,31,7.38,10,10,21.9,27.1,,0
42,50,29,13.42,100,120,23,29.1,,0
48,58,39,12.53,210,180,25.1,32,,0.53
41,50,37,9.62,240,240,21,30,,0.05
35,37,28,8.95,320,310,21,28,,0.07
31,39,28,10.51,320,320,21.9,28,,0
35,49,24,7.61,340,250,18.1,23,,0
36,51,20,5.37,130,130,15,21.9,,0
43,53,32,10.96,350,340,21.9,32,,0
45,54,39,11.63,360,10,19.9,23.9,,0
49,61,36,4.92,20,10,15,18.1,,0
48,62,36,10.29,330,340,21.9,28,,0
48,61,36,8.72,10,330,17,21.9,,0
54,68,38,4.25,130,130,14.1,17,,0
55,72,36,5.37,130,120,16.1,19.9,,0
63,81,42,8.05,210,210,21,32,,0
66,73,46,9.4,350,330,23.9,31.1,,0.05
53,66,38,4.7,130,130,13,16.1,,0
50,66,31,6.04,110,90,16.1,30,,0
61,83,45,7.38,120,120,16.1,21,,0
70,83,56,9.4,190,330,23,32,,0.66
56,59,49,7.38,330,340,15,18.1,,0.42
50,50,44,8.5,50,50,15,19,,0.04
46,56,43,6.04,110,50,15,19.9,,0.5
52,57,40,10.74,240,240,19.9,28,,0
47,58,35,9.17,10,340,19.9,28,,0.01
48,62,32,6.71,130,130,17,23.9,,0
49,57,46,3.8,110,110,10.1,14.1,,0.1
57,71,46,5.59,100,120,14.1,18.1,,0
57,76,46,8.5,130,120,19.9,25.9,,0
74,86,50,11.41,220,210,23,32,,0
51,50,38,10.74,320,330,23,31.1,,0
44,62,31,5.37,330,310,15,21.9,,0
55,71,42,8.95,330,310,21,27.1,,0
48,57,31,8.95,330,350,23.9,32,,0
53,79,26,6.71,230,220,17,25.1,,0
64,79,45,5.82,210,220,16.1,21,,0.05
63,79,53,8.05,220,230,21.9,30,,0.85
74,86,63,10.07,180,190,23,28,,0.5
